Orden,Preparación,Calidad,QQs Netos,Línea,Fecha,Turno,Analista,Operador,Hora,"% entrada
(Trillo)",Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Observaciones,Prom % de salida,Prom % de Pérdida,Vueltas Ponderadas
X Z 1/40,Super,Lift ," 2,093.53 ",Línea 1,12/16/2020,Turno 1,Angel,Jose Alberto,07:00 a. m.,9.00%,6.00,0.40,6.80,13.20,4.80%,6.00,0.40,12.00,18.40,9.60%,10.00,1.20,28.40,39.60,17.33%,,7%,19.41%,3.30182976
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/16/2020,Turno 1,Angel,Jose Alberto,09:00 a. m.,11.20%,6.00,0.40,5.60,12.00,2.33%,2.00,0.40,8.00,10.40,2.53%,8.00,1.60,18.00,27.60,5.80%,,3%,75.65%,5.08957233
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/16/2020,Turno 1,Angel,Jose Alberto,11:00 a. m.,4.60%,4.00,0.40,2.80,7.20,1.27%,4.00,0.00,7.20,11.20,2.80%,110.00,2.80,21.60,134.40,6.60%,,2%,52.49%,5.08957233
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/16/2020,Turno 1,Angel,Jose Alberto,01:00 p. m.,5.50%,2.00,0.00,7.60,9.60,2.47%,4.00,0.40,2.40,6.80,1.07%,10.00,2.40,34.80,47.20,10.47%,,3%,46.91%,5.08957233
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/16/2020,Turno 1,Selenio,Carlos,03:00 p. m.,5.00%,1.00,1.00,7.00,9.00,4.00%,3.00,0.40,6.40,9.80,2.33%,9.00,2.60,24.00,35.60,8.33%,,4%,19.69%,5.08957233
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/16/2020,Turno 1,Selenio,Carlos,08:00 p. m.,9.00%,4.00,2.60,8.00,14.60,4.00%,4.00,0.40,7.20,11.60,2.67%,2.00,3.00,24.80,29.80,8.00%,,4%,54.81%,5.08957233
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/16/2020,Turno 1,Selenio,Carlos,10:00 p. m.,8.00%,5.00,0.80,9.00,14.80,3.00%,4.00,0.00,7.00,11.00,3.00%,13.00,1.60,25.00,39.60,8.67%,,4%,55.41%,5.08957233
X Z 1/43,SPop,SPop B," 2,161.81 ",Línea 2,12/16/2020,Turno 1,Angel,Jose Reyes,07:00 a. m.,12.00%,5.00,1.00,10.00,16.00,3.20%,2.00,0.00,4.80,6.80,1.73%,6.00,0.40,23.20,29.60,6.60%,,3%,73.56%,6.277657326
X Z 1/43,SPop,SPop B," 2,161.81 ",Línea 2,12/16/2020,Turno 1,Angel,Jose Reyes,09:00 a. m.,12.80%,8.00,1.00,8.80,17.80,3.33%,4.00,0.00,8.40,12.40,4.00%,10.00,1.60,35.20,46.80,9.53%,,4%,67.83%,6.277657326
X Z 1/43,SPop,SPop B," 2,161.81 ",Línea 2,12/16/2020,Turno 2,Selenio,Jose C.,07:00 p. m.,5.00%,5.00,0.00,5.20,10.20,2.00%,13.00,0.00,7.00,20.00,3.00%,20.00,2.00,28.00,50.00,9.33%,,3%,40.34%,6.277657326
X Z 1/43,SPop,SPop B," 2,161.81 ",Línea 2,12/16/2020,Turno 2,Selenio,Jose C.,09:00 p. m.,8.00%,7.00,0.40,7.00,14.40,2.67%,6.00,0.20,6.00,12.20,2.67%,10.00,0.00,24.00,34.00,4.00%,,3%,64.96%,6.277657326
X Z 1/42,Love 12,SPop DamLEVE," 1,097.62 ",Línea 2,12/16/2020,Turno 1,Angel,Jose Reyes,01:00 p. m.,10.00%,2.00,0.00,4.00,6.00,1.40%,6.00,0.00,4.80,10.80,1.93%,12.00,0.40,29.20,41.60,9.33%,,2%,76.75%,3.541898359
X Z 1/42,Love 12,SPop DamLEVE," 1,097.62 ",Línea 2,12/16/2020,Turno 2,Selenio,Jose C.,03:00 p. m.,11.00%,20.00,0.60,10.40,31.00,5.00%,11.00,0.20,6.00,17.20,3.00%,22.00,0.40,28.00,50.40,9.67%,,5%,54.85%,3.541898359
X Z 1/42,Love 12,SPop DamLEVE," 1,097.62 ",Línea 2,12/16/2020,Turno 2,Selenio,Jose C.,05:00 p. m.,11.00%,4.00,1.80,9.00,14.80,3.67%,12.00,0.00,7.40,19.40,4.33%,20.00,1.00,28.00,49.00,9.33%,,4%,59.99%,3.541898359
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/17/2020,Turno 1,Angel,Jose Alberto,07:00 a. m.,6.70%,12.00,0.20,14.00,26.20,5.13%,8.00,0.80,8.00,16.80,2.87%,12.00,3.40,29.60,45.00,8.60%,,5%,26.69%,5.08957233
X Z 1/44,SPop,SPop B," 1,999.51 ",Línea 1,12/17/2020,Turno 1,Angel,Jose Alberto,09:00 a. m.,8.00%,4.00,0.80,11.60,16.40,3.93%,8.00,0.40,11.60,20.00,4.00%,17.00,1.60,28.00,46.60,9.30%,,4%,43.94%,5.08957233
